time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer,playerHealth,damageDealt,topUtilityScore,secondScore,seed
0.00,Player,Player,-,None,1.00,,0,1.00,,,,460615578
0.00,FSM Enemy 9,FSM,PatrolState,None,1.00,33.4,0,1.00,0,,,460615578
0.00,FSM Enemy 14,FSM,PatrolState,None,1.00,75.0,0,1.00,0,,,460615578
0.00,FSM Enemy 3,FSM,PatrolState,None,1.00,82.0,0,1.00,0,,,460615578
0.00,FSM Enemy 8,FSM,PatrolState,None,1.00,48.1,0,1.00,0,,,460615578
0.00,FSM Enemy 12,FSM,PatrolState,None,1.00,38.1,0,1.00,0,,,460615578
0.00,FSM Enemy 4,FSM,PatrolState,None,1.00,48.9,0,1.00,0,,,460615578
0.00,FSM Enemy 7,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,460615578
0.00,FSM Enemy 15,FSM,PatrolState,None,1.00,28.5,0,1.00,0,,,460615578
0.00,FSM Enemy 5,FSM,PatrolState,None,1.00,69.3,0,1.00,0,,,460615578
0.00,FSM Enemy 10,FSM,PatrolState,None,1.00,66.4,0,1.00,0,,,460615578
0.00,FSM Enemy 6,FSM,PatrolState,None,1.00,28.1,0,1.00,0,,,460615578
0.00,FSM Enemy 2,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,460615578
0.00,FSM Enemy 1,FSM,PatrolState,None,1.00,89.4,0,1.00,0,,,460615578
0.00,FSM Enemy 13,FSM,PatrolState,None,1.00,49.2,0,1.00,0,,,460615578
0.00,FSM Enemy 11,FSM,PatrolState,None,1.00,37.9,0,1.00,0,,,460615578
0.00,Utility Enemy 15,Utility,PatrolAction,None,1.00,80.1,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 2,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 3,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 14,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 12,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 10,Utility,PatrolAction,None,1.00,30.2,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 7,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 9,Utility,PatrolAction,None,1.00,44.6,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 11,Utility,PatrolAction,None,1.00,33.7,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 1,Utility,PatrolAction,None,1.00,84.4,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 6,Utility,PatrolAction,None,1.00,42.0,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 4,Utility,PatrolAction,None,1.00,62.9,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 8,Utility,PatrolAction,None,1.00,77.4,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 13,Utility,PatrolAction,None,1.00,50.6,0,1.00,0,0.120,0.000,460615578
0.00,Utility Enemy 5,Utility,PatrolAction,None,1.00,84.0,0,1.00,0,0.120,0.000,460615578
1.01,Player,Player,-,None,1.00,,0,1.00,,,,460615578
1.01,FSM Enemy 9,FSM,PatrolState,None,1.00,30.5,0,1.00,0,,,460615578
1.01,FSM Enemy 14,FSM,PatrolState,None,1.00,76.0,0,1.00,0,,,460615578
1.01,FSM Enemy 3,FSM,PatrolState,None,1.00,81.5,0,1.00,0,,,460615578
1.01,FSM Enemy 8,FSM,PatrolState,None,1.00,45.7,0,1.00,0,,,460615578
1.01,FSM Enemy 12,FSM,PatrolState,None,1.00,36.2,0,1.00,0,,,460615578
1.01,FSM Enemy 4,FSM,PatrolState,None,1.00,46.6,0,1.00,0,,,460615578
1.01,FSM Enemy 7,FSM,PatrolState,None,1.00,26.8,0,1.00,0,,,460615578
1.01,FSM Enemy 15,FSM,PatrolState,None,1.00,27.9,0,1.00,0,,,460615578
1.01,FSM Enemy 5,FSM,PatrolState,None,1.00,69.6,0,1.00,0,,,460615578
1.01,FSM Enemy 10,FSM,PatrolState,None,1.00,66.8,0,1.00,0,,,460615578
1.01,FSM Enemy 6,FSM,PatrolState,None,1.00,28.8,0,1.00,0,,,460615578
1.01,FSM Enemy 2,FSM,PatrolState,None,1.00,89.3,0,1.00,0,,,460615578
1.01,FSM Enemy 1,FSM,PatrolState,None,1.00,89.8,0,1.00,0,,,460615578
1.01,FSM Enemy 13,FSM,PatrolState,None,1.00,49.6,0,1.00,0,,,460615578
1.01,FSM Enemy 11,FSM,PatrolState,None,1.00,40.0,0,1.00,0,,,460615578
1.01,Utility Enemy 15,Utility,PatrolAction,None,1.00,82.5,0,1.00,0,0.120,0.000,460615578
1.01,Utility Enemy 2,Utility,PatrolAction,None,1.00,81.2,0,1.00,0,0.120,0.000,460615578
1.01,Utility Enemy 3,Utility,PatrolAction,None,1.00,61.0,0,1.00,0,0.120,0.000,460615578
1.01,Utility Enemy 14,Utility,PatrolAction,None,1.00,48.8,0,1.00,0,0.120,0.000,460615578
1.01,Utility Enemy 12,Utility,PatrolAction,None,1.00,35.4,0,1.00,0,0.120,0.000,460615578
1.01,Utility Enemy 10,Utility,PatrolAction,None,1.00,31.8,0,1.00,0,0.120,0.000,460615578
